date,payee,category,amount
2026-01-03,Northgate Grocers,Groceries,-84.27
2026-01-04,Meridian Property Mgmt,Rent,-1450.00
2026-01-05,Riverside Power & Light,Utilities,-96.40
2026-01-07,Fenwick & Associates,Salary,2650.00
2026-01-09,Blue Kettle Cafe,Dining,-12.85
2026-01-11,Northgate Grocers,Groceries,-61.19
2026-01-12,Cobalt Streaming,Entertainment,-14.99
2026-01-15,Harrow Insurance Co,Insurance,-88.50
2026-01-16,Transfer to Savings,Transfer,-300.00
2026-01-18,Union Transit Authority,Transportation,-45.00
2026-01-20,Fenwick & Associates,Salary,2650.00
2026-01-21,Pinecrest Dental Group,Healthcare,-140.00
2026-01-23,Northgate Grocers,Groceries,-73.52
2026-01-25,Blue Kettle Cafe,Dining,-9.40
2026-01-27,Wrenfield Hardware,Home,-52.18
2026-01-28,Cobalt Streaming,Entertainment,-14.99
2026-01-30,Transfer to Savings,Transfer,-300.00
2026-02-01,Riverside Power & Light,Utilities,-101.75
2026-02-03,Fenwick & Associates,Salary,2650.00
2026-02-05,Northgate Grocers,Groceries,-79.03
